open,high,low,close,volume
103.27,103.27,102.48,102.8,4626400
103.04,103.51,102.61,103.36,2380600
103.4,103.92,103.08,103.19,3075300
102.89,103.9,102.52,103.59,5483200
103.81,104.05,103.36,103.92,4529000
103.81,104.13,103.66,103.87,2822200
103.87,105.01,103.87,104.23,5518700
104.0,104.3,103.64,104.25,3561900
103.92,104.05,103.25,103.25,3964800
103.74,105.14,103.64,104.62,4863100
105.25,105.48,104.39,104.73,3191200
104.3,104.53,103.57,103.9,3470800
103.83,104.36,102.69,102.71,4322200
103.19,103.76,102.9,103.59,4265500
103.21,103.36,102.55,102.89,3518200
102.84,103.83,102.11,102.74,3937500
102.84,103.19,101.94,101.98,4769100
101.64,102.56,101.41,102.25,7691600
102.93,102.97,101.75,102.77,3397100
102.03,102.07,100.52,100.52,4085700
100.78,101.19,99.28,99.59,5109300
99.92,100.74,99.63,100.5,6588200
100.3,100.54,98.56,99.76,6508100
99.47,100.22,98.2,98.24,5972300
98.2,100.05,98.06,100.03,7791300
100.48,100.56,98.95,99.32,9726300
99.4,99.83,98.05,98.05,5302400
98.84,99.12,97.85,98.56,7186200
98.58,100.75,98.38,99.83,7036400
100.15,100.5,98.88,98.88,9333600
99.34,99.77,98.55,99.04,5517800
99.51,100.35,97.96,98.11,9347200
98.37,99.32,97.59,98.93,6148900
98.73,99.72,98.67,99.27,4566900
99.06,99.58,96.22,97.12,10014900
97.29,97.29,95.96,96.39,4508000
96.45,97.25,94.8,94.8,6104700
94.75,95.44,93.03,94.0,10346000
94.52,94.73,91.42,91.66,12336900
91.53,94.78,91.48,94.71,11778800
94.6,95.17,94.11,95.14,5659000
95.31,95.4,92.54,92.77,7831700
91.31,93.72,89.61,92.43,10897300
94.22,96.01,93.94,95.92,8767300
95.27,97.21,95.27,96.32,7373500
96.35,97.1,95.66,96.75,5290000
97.06,97.72,95.7,96.11,5750700
95.53,96.09,93.72,93.85,9137600
94.41,94.78,92.28,94.11,9345800
94.93,95.89,94.07,95.89,9762900
95.31,97.14,95.12,96.75,10154100
97.09,98.93,96.43,98.42,7752400
97.94,98.63,97.23,98.09,6753600
98.56,99.08,98.12,98.25,11395100
98.78,98.97,98.02,98.3,5187100
98.56,99.35,98.48,98.99,4042500
98.55,99.14,98.15,98.97,5231300
99.19,99.19,96.78,96.78,6123300
96.39,97.23,94.5,96.41,10635300
95.7,96.02,94.0,94.07,8569500
93.38,94.31,91.58,93.33,17285300
94.65,96.13,94.32,95.79,7668900
95.74,96.46,94.84,96.09,8837700
95.41,96.3,94.54,94.58,6684100
94.54,95.7,93.46,94.08,6551100
93.46,93.89,92.47,92.73,5458500
92.86,93.76,91.92,93.2,7684300
92.49,92.86,90.97,90.98,5736900
92.0,92.92,92.0,92.84,3411600
93.96,94.11,93.16,93.66,5992000
93.03,94.04,92.01,92.04,5336100
92.52,93.57,91.75,91.87,6914100
91.23,91.91,89.33,91.07,11201600
91.7,92.3,90.19,91.03,7587200
90.79,92.17,90.54,91.81,6996600
92.86,95.18,92.54,94.82,8883400
94.86,95.25,92.97,93.3,12888000
92.86,93.55,92.02,92.02,6529100
94.37,96.02,92.17,92.24,10276300
94.58,96.09,94.13,95.44,6405600
95.14,95.57,94.58,95.03,5022900
95.87,95.98,93.66,93.73,6070500
93.55,93.98,92.28,92.54,7678400
91.94,91.94,90.17,90.45,9065300
91.2,92.17,91.0,91.66,7235400
91.48,93.21,89.79,89.79,9616600
88.83,89.04,87.08,87.19,9994300
87.02,88.99,86.69,87.79,14331500
89.09,90.54,88.98,90.43,10182900
90.36,91.4,89.97,91.4,4665300
90.99,92.36,90.64,92.07,4854100
91.72,92.45,91.57,92.35,8358700
92.58,92.74,90.6,90.6,8774600
91.16,91.27,88.1,88.96,8737500
88.61,93.92,88.16,93.23,19431600
93.19,93.56,91.85,92.23,9219000
92.17,92.28,89.22,89.22,12911400
89.69,89.91,88.18,89.91,6625300
90.5,90.81,89.38,89.67,5702400
89.09,91.25,88.96,91.25,8746100
90.53,92.18,90.53,91.33,7245100
91.63,92.35,90.66,91.16,7244000
91.16,91.98,90.83,91.74,8542200
93.12,93.26,91.6,92.16,7851400
92.15,93.72,91.81,93.08,8107000
94.05,94.05,92.45,92.55,7782500
92.71,93.77,92.24,93.17,7050900
92.86,94.38,92.65,93.9,8463100
94.09,94.83,93.81,94.18,6199900
94.09,94.79,93.68,93.94,10818300
93.34,94.01,92.85,93.84,7136800
93.58,94.54,93.49,94.34,6705900
94.13,95.25,93.78,95.17,7069100
94.89,95.79,94.34,94.63,9706900
94.68,95.27,94.09,95.26,8239100
94.89,95.3,93.06,93.09,8276600
93.09,93.88,93.06,93.78,4352900
93.44,94.41,93.38,93.5,7106700
93.04,93.51,92.32,93.02,5748700
93.09,93.51,91.92,91.93,5943300
92.09,92.09,90.65,91.05,9913000
90.95,92.2,90.95,92.09,5804400
92.33,92.66,91.16,91.34,6587600
91.61,91.61,90.23,91.2,8400100
91.74,92.21,91.15,92.09,5929800
90.47,90.67,89.3,90.05,6434900
90.5,90.57,88.47,88.67,5760000
88.33,88.98,86.67,86.75,10910800
87.26,87.39,84.96,86.88,21281600
86.38,86.7,84.12,86.3,20173000
86.88,88.13,85.98,88.13,11503700
87.57,88.29,86.68,87.32,11415000
87.53,87.6,85.13,85.6,14825800
85.67,86.05,84.08,86.05,14672000
